"Origin Movement ID","Origin Display Name","Destination Movement ID","Destination Display Name","Date Range","Mean Travel Time (Seconds)","Range - Lower Bound Travel Time (Seconds)","Range - Upper Bound Travel Time (Seconds)"
"1277","300 Hayes Street, Civic Center, San Francisco","931","10300 North Stelling Road, Cupertino","10/1/2017 - 10/31/2017, Every day, Daily Average",2959,2544,3440
"1277","300 Hayes Street, Civic Center, San Francisco","935","1600 Maddux Drive, Woodside Plaza, Redwood City","10/1/2017 - 10/31/2017, Every day, Daily Average",2215,1962,2499
"1277","300 Hayes Street, Civic Center, San Francisco","939","2900 Central Avenue, Alameda","10/1/2017 - 10/31/2017, Every day, Daily Average",1763,1338,2322
"1277","300 Hayes Street, Civic Center, San Francisco","940","25200 Belhaven Street, Southgate, Hayward","10/1/2017 - 10/31/2017, Every day, Daily Average",2089,1608,2712
"1277","300 Hayes Street, Civic Center, San Francisco","945","400 Santa Alicia Drive, Rohnert Park","10/1/2017 - 10/31/2017, Every day, Daily Average",3754,2956,4767
"1277","300 Hayes Street, Civic Center, San Francisco","949","700 Santa Ray Avenue, Lakeshore, Oakland","10/1/2017 - 10/31/2017, Every day, Daily Average",1507,1075,2111
"1277","300 Hayes Street, Civic Center, San Francisco","950","Old Sled Trail, Bolinas","10/1/2017 - 10/31/2017, Every day, Daily Average",1084,804,1460
"1277","300 Hayes Street, Civic Center, San Francisco","954","2900 Willow Road, San Pablo","10/1/2017 - 10/31/2017, Every day, Daily Average",1585,1215,2067
"1277","300 Hayes Street, Civic Center, San Francisco","957","33200 Central Avenue, Union City","10/1/2017 - 10/31/2017, Every day, Daily Average",2590,1941,3455
"1277","300 Hayes Street, Civic Center, San Francisco","958","4900 Hildasue Terrace, Ardenwood, Fremont","10/1/2017 - 10/31/2017, Every day, Daily Average",2477,1988,3085
"1277","300 Hayes Street, Civic Center, San Francisco","963","600 Sutter Street, Lower Nob Hill, San Francisco","10/1/2017 - 10/31/2017, Every day, Daily Average",514,342,770
"1277","300 Hayes Street, Civic Center, San Francisco","964","2900 Broderick Street, Cow Hollow, San Francisco","10/1/2017 - 10/31/2017, Every day, Daily Average",652,472,900
"1277","300 Hayes Street, Civic Center, San Francisco","965","200 Topeka Avenue, Silver Terrace, San Francisco","10/1/2017 - 10/31/2017, Every day, Daily Average",877,624,1231
"1277","300 Hayes Street, Civic Center, San Francisco","967","1400 32nd Avenue, Sunset District, San Francisco","10/1/2017 - 10/31/2017, Every day, Daily Average",922,682,1244
"1277","300 Hayes Street, Civic Center, San Francisco","968","3200 Anza Street, Richmond District, San Francisco","10/1/2017 - 10/31/2017, Every day, Daily Average",957,729,1255
"1277","300 Hayes Street, Civic Center, San Francisco","983","4100 Fairlands Drive, Pleasanton","10/1/2017 - 10/31/2017, Every day, Daily Average",2837,2181,3688
"1277","300 Hayes Street, Civic Center, San Francisco","985","300 West Jack London Boulevard, Livermore","10/1/2017 - 10/31/2017, Every day, Daily Average",3135,2405,4086
"1277","300 Hayes Street, Civic Center, San Francisco","1025","Briones to Mount Diablo Regional Trail, Walnut Creek","10/1/2017 - 10/31/2017, Every day, Daily Average",1913,1419,2578
"1277","300 Hayes Street, Civic Center, San Francisco","1030","5300 Lawton Avenue, Shafter, Oakland","10/1/2017 - 10/31/2017, Every day, Daily Average",1263,910,1751
"1277","300 Hayes Street, Civic Center, San Francisco","1031","1100 Cambridge Drive, Lafayette","10/1/2017 - 10/31/2017, Every day, Daily Average",1796,1311,2459
"1277","300 Hayes Street, Civic Center, San Francisco","1032","Shore Trail, Lafayette","10/1/2017 - 10/31/2017, Every day, Daily Average",1622,1225,2146
"1277","300 Hayes Street, Civic Center, San Francisco","1036","Wilder Road, Wilder, Orinda","10/1/2017 - 10/31/2017, Every day, Daily Average",1403,1102,1786
"1277","300 Hayes Street, Civic Center, San Francisco","1038","Kestrel Loop Trail, Rodeo","10/1/2017 - 10/31/2017, Every day, Daily Average",1942,1583,2382
"1277","300 Hayes Street, Civic Center, San Francisco","1045","100 Pearl Street, Oakland Ave - Harrison St, Oakland","10/1/2017 - 10/31/2017, Every day, Daily Average",1318,970,1790
"1277","300 Hayes Street, Civic Center, San Francisco","1046","300 Grand Avenue, Adams Point, Oakland","10/1/2017 - 10/31/2017, Every day, Daily Average",1262,901,1766
"1277","300 Hayes Street, Civic Center, San Francisco","1047","1700 Eastshore Boulevard, El Cerrito","10/1/2017 - 10/31/2017, Every day, Daily Average",1457,1116,1900
"1277","300 Hayes Street, Civic Center, San Francisco","1048","Upper Fire Trail, Berkeley","10/1/2017 - 10/31/2017, Every day, Daily Average",1574,1125,2200
"1277","300 Hayes Street, Civic Center, San Francisco","1049","6100 Harwood Avenue, Rockridge, Oakland","10/1/2017 - 10/31/2017, Every day, Daily Average",1398,977,1998
"1277","300 Hayes Street, Civic Center, San Francisco","1050","3700 Towns Court, Pinole","10/1/2017 - 10/31/2017, Every day, Daily Average",1823,1452,2287
"1277","300 Hayes Street, Civic Center, San Francisco","1053","500 Haddon Road, Cleveland Heights, Oakland","10/1/2017 - 10/31/2017, Every day, Daily Average",1328,926,1902
"1277","300 Hayes Street, Civic Center, San Francisco","1056","100 Lakeside Drive, Downtown Oakland, Oakland","10/1/2017 - 10/31/2017, Every day, Daily Average",1474,1074,2021
"1277","300 Hayes Street, Civic Center, San Francisco","1057","6300 Brookside Avenue, Upper Rockridge, Oakland","10/1/2017 - 10/31/2017, Every day, Daily Average",1281,945,1735
"1277","300 Hayes Street, Civic Center, San Francisco","1058","6700 Armour Drive, Montclair, Oakland","10/1/2017 - 10/31/2017, Every day, Daily Average",1643,1211,2228
"1277","300 Hayes Street, Civic Center, San Francisco","1059","900 East 22nd Street, Clinton, Oakland","10/1/2017 - 10/31/2017, Every day, Daily Average",1290,965,1723
"1277","300 Hayes Street, Civic Center, San Francisco","1060","3600 East 8th Street, South Kennedy Tract, Oakland","10/1/2017 - 10/31/2017, Every day, Daily Average",1530,1052,2224
"1277","300 Hayes Street, Civic Center, San Francisco","1062","3300 Davis Street, Peralta Hacienda, Oakland","10/1/2017 - 10/31/2017, Every day, Daily Average",1503,1169,1932
"1277","300 Hayes Street, Civic Center, San Francisco","1063","800 54th Avenue, Coliseum Industrial, Oakland","10/1/2017 - 10/31/2017, Every day, Daily Average",1440,1030,2011
"1277","300 Hayes Street, Civic Center, San Francisco","1065","3400 Noyo Street, Woodminster, Oakland","10/1/2017 - 10/31/2017, Every day, Daily Average",1870,1276,2738
"1277","300 Hayes Street, Civic Center, San Francisco","1066","7200 Doolittle Drive, Oakland","10/1/2017 - 10/31/2017, Every day, Daily Average",1713,1251,2344
"1277","300 Hayes Street, Civic Center, San Francisco","1068","1600 Poplar Street, West Oakland, Oakland","10/1/2017 - 10/31/2017, Every day, Daily Average",1137,794,1627
"1277","300 Hayes Street, Civic Center, San Francisco","1069","700 Hillside Avenue, Albany","10/1/2017 - 10/31/2017, Every day, Daily Average",1330,935,1891
"1277","300 Hayes Street, Civic Center, San Francisco","1070","1000 Cornell Avenue, Albany","10/1/2017 - 10/31/2017, Every day, Daily Average",1477,1079,2020
"1277","300 Hayes Street, Civic Center, San Francisco","1071","2000 Rose Street, North Berkeley, Berkeley","10/1/2017 - 10/31/2017, Every day, Daily Average",1847,1341,2542
"1277","300 Hayes Street, Civic Center, San Francisco","1072","1700 Chestnut Street, Northwest Berkeley, Berkeley","10/1/2017 - 10/31/2017, Every day, Daily Average",1456,1070,1980
"1277","300 Hayes Street, Civic Center, San Francisco","1073","100 Panoramic Way, Berkeley","10/1/2017 - 10/31/2017, Every day, Daily Average",1844,1320,2574
"1277","300 Hayes Street, Civic Center, San Francisco","1074","2300 Ninth Street, Southwest Berkeley, Berkeley","10/1/2017 - 10/31/2017, Every day, Daily Average",1337,954,1872
"1277","300 Hayes Street, Civic Center, San Francisco","1079","0 The Plaza Drive, Claremont, Berkeley","10/1/2017 - 10/31/2017, Every day, Daily Average",1679,1209,2331
"1277","300 Hayes Street, Civic Center, San Francisco","1080","Pier 2, Emeryville","10/1/2017 - 10/31/2017, Every day, Daily Average",1078,745,1558
